eligible_voters,voters,CDU,SPD,GRUENE,FDP,AFD,LINKE,SONSTIGE,location_address,location_id,latitude,longitude
937,515,147,153,41,55,70,30,8,"Petrus-Gemeindehaus, Gr. Saal",20.8121000.315,49.1426929,9.210879
716,373,89,112,30,33,54,24,22,"Petrus-Gemeindehaus, Kl. Saal",20.8121000.316,49.1426929,9.210879
853,510,128,129,29,56,100,33,26,"Leinbachschule, Zimmer 4",20.8121000.401,49.16802389999999,9.1987604
1090,666,203,177,51,71,96,34,28,Städt. Ki.garten Feurerstr. 31,20.8121000.402,49.16956,9.195518999999999
829,461,121,122,31,32,81,38,25,Altes Rathaus Neckargartach,20.8121000.403,49.1685556,9.201514
793,401,90,119,25,28,96,22,8,"Leinbachschule, Zimmer 5",20.8121000.404,49.16802389999999,9.1987604
851,518,167,141,47,43,80,15,19,"Albrecht-Dürer-Schule, Aula",20.8121000.405,49.16461,9.202219999999999
781,471,150,94,24,31,105,37,22,Ev. Gem.zentr. Sachsenäckerstr Foyer,20.8121000.406,49.1620715,9.2010606
895,532,161,118,32,54,115,23,19,Ev. Gem.zentr. Sachsenäckerstr. Clubr.,20.8121000.407,49.1620715,9.2010606
1514,753,200,162,73,64,153,55,36,"Therapeutikum, Kreuzäckerstr.",20.8121000.501,49.12386,9.204519999999999
1191,638,181,157,64,41,115,43,25,Gem.haus Martinussaal B Auf dem Bau,20.8121000.502,49.119074,9.189772999999999
1283,671,213,162,53,62,103,42,30,Gem.haus Martinussaal A Auf dem Bau,20.8121000.503,49.119074,9.189772999999999
1034,568,166,132,55,56,95,45,12,"Staufenbergschule, Zimmer 5",20.8121000.504,49.1182998,9.2017083
1022,561,168,115,25,28,149,41,22,"Staufenbergschule, Zimmer 3",20.8121000.505,49.1182998,9.2017083
926,584,220,139,43,56,78,21,19,"Staufenbergschule, Zimmer 4",20.8121000.506,49.1182998,9.2017083
1092,617,206,136,53,62,97,36,21,"Mörike-Realschule, Zimmer E 47",20.8121000.507,49.1188298,9.2126101
893,563,180,146,49,59,79,18,20,"Grundschule Klingenberg, Z. 6",20.8121000.601,49.1211318,9.1550864
670,360,111,76,20,34,74,25,16,Altes Rathaus Klingenberg,20.8121000.602,49.1193731,9.161410199999999
723,403,119,105,19,39,86,15,13,Bürgeramt Frankenbach Sitz.s.,20.8121000.701,49.15922680000001,9.1719292
844,537,213,128,32,62,66,19,12,"Leintalsporthalle, Mehrzweckr.",20.8121000.702,49.1426929,9.210879
950,525,153,123,43,48,106,23,24,"Bürgeramt Frankenbach, Z.5",20.8121000.703,49.15922680000001,9.1719292
800,438,147,112,22,26,82,28,15,Gemeindehalle Großer Saal,20.8121000.704,49.1426929,9.210879
773,442,118,128,32,29,104,8,16,Kath. Kiga Leintalstr.4,20.8121000.705,49.156785,9.1725744
834,512,196,90,39,39,94,23,25,Bürgeramt Kirchhausen Foyer,20.8121000.801,49.18451,9.109829999999999
1190,809,349,155,66,71,116,15,30,"St, Franziskus-Kindergarten",20.8121000.802,49.1809167,9.1100436
793,505,210,93,29,46,78,19,20,Deutschordenshalle Vereinsraum,20.8121000.803,49.1815842,9.117190899999999
1237,721,275,139,47,78,125,27,20,"Dienstleistungszentrum, Feuerwehr",20.8121000.901,49.1276483,9.217810199999999
619,404,151,117,27,41,45,9,10,"Böllingertalhalle Foyer, links",20.8121000.902,49.1426929,9.210879
1135,663,259,150,38,63,96,33,18,"Bürgeramt Biberach, Sitzungssaal",20.8121000.903,49.1923016,9.1466171
697,441,150,111,33,38,70,17,18,"Böllingertalhalle Foyer, rechts",20.8121000.904,49.1426929,9.210879
1008,625,214,169,60,63,76,17,22,"Bürgeramt Horkheim, Sitzungssaal",20.8121000.1001,49.1161122,9.1680724
960,605,222,127,86,66,63,16,18,"Grundschule Horkheim, Mensa",20.8121000.1002,49.11557149999999,9.169799099999999
1108,704,236,171,60,71,106,32,24,AWO-Kindertagesstätte,20.8121000.1003,49.1146529,9.175639499999999
0,1119,404,229,137,107,126,61,50,"Schul-, Kultur-,Sportamt, Z. 9",20.8121000.B290,49.1426929,9.210879
0,855,267,208,119,94,84,41,35,"Rathaus Heilbronn, Zimmer 106",20.8121000.B291,49.142624,9.218359
0,845,300,189,93,108,87,31,30,"Schul-, Kultur-,Sportamt, Bildungsbüro",20.8121000.B292,49.1426929,9.210879
0,864,331,162,93,117,86,38,29,"Rathaus Heilbronn, Zimmer 105",20.8121000.B293,49.142624,9.218359
0,864,367,156,78,154,67,16,20,"Rathaus Heilbronn, Archivsaal",20.8121000.B294,49.142624,9.218359
0,908,390,171,88,130,65,37,24,"GPR, Marktplatz 11 Z. 4+5",20.8121000.B295,49.1424282,9.2195047
0,883,297,205,93,102,98,30,49,"Rathaus Heilbronn, Zimmer 471",20.8121000.B296,49.142624,9.218359
0,1000,331,237,76,126,141,36,41,Bürgeramt Böckingen,20.8121000.B390,49.1408823,9.1926361
0,1038,319,293,98,128,115,37,36,"Rathaus Heilbronn, Zimmer 60",20.8121000.B391,49.142624,9.218359
0,880,261,244,84,99,113,36,34,"Rathaus Heilbronn, Zimmer 104",20.8121000.B490,49.142624,9.218359
0,647,229,149,70,60,76,26,34,"Rathaus Heilbronn, Z. 412-414",20.8121000.B590,49.142624,9.218359
0,662,269,145,56,77,68,15,25,"Rathaus Heilbronn, Kantine",20.8121000.B591,49.142624,9.218359
0,333,108,90,29,36,36,12,20,"Rathaus Heilbronn, Zimmer 162",20.8121000.B690,49.142624,9.218359
0,769,248,179,64,77,123,36,35,Bürgeramt Frankenbach,20.8121000.B790,49.15922680000001,9.1719292
0,438,189,96,34,46,52,9,7,Bürgeramt Kirchhausen Deutschrittersaal,20.8121000.B890,49.18451,9.109829999999999
0,700,279,151,58,90,68,23,22,Bürgeramt Biberach Besprechungsraum,20.8121000.B990,49.1923016,9.1466171
0,557,208,135,54,55,58,22,19,Bürgeramt Horkheim,20.8121000.B1090,49.1161122,9.1680724
785,467,171,122,33,37,62,13,18,"GS Jagstfeld, EG rechts",21.8125005.104,49.1426929,9.210879
847,455,147,116,35,41,67,20,25,"Jahnhalle, Badstraße",21.8125005.105,49.23422129999999,9.191173899999999
